loan_id,age,education,proof_submitted,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default
111,33,2,Aadhar,803628,1255164,0,0,0,0
112,31,1,Aadhar,657108,798000,3,0,0,0
113,42,2,Aadhar,518520,759024,0,0,0,0
114,35,2,Aadhar,682668,841272,2,2,0,1
115,43,2,Aadhar,818676,1482072,11,5,0,1
116,36,2,Aadhar,348348,547284,2,2,0,1
117,40,2,Aadhar,778584,963816,2,2,0,1
118,32,1,Aadhar,690708,807000,0,0,0,1
119,45,2,VoterID,290748,758352,10,4,0,1
120,47,2,Aadhar,716556,835848,0,0,0,0
121,43,2,Aadhar,737364,843396,0,0,0,0
122,41,2,VoterID,413268,549900,0,0,0,0
123,36,2,Aadhar,930948,1344000,11,0,0,0
124,46,2,Aadhar,767364,919440,3,2,0,1
125,37,2,Aadhar,639636,749184,0,0,0,0
126,31,1,Aadhar,755364,976272,0,0,0,1
127,46,2,VoterID,642936,837600,6,2,0,1
128,28,1,Aadhar,745764,936000,2,2,0,0
129,31,2,Aadhar,566988,733044,26,3,0,0
130,47,1,VoterID,770028,880068,0,0,0,1
131,26,2,PAN,690108,903744,0,0,0,1
132,24,1,Aadhar,654756,819996,0,0,0,1
133,38,2,Aadhar,612936,935160,2,2,0,1
134,50,2,Aadhar,755364,1155420,0,0,0,0
135,39,2,Aadhar,716556,826956,14,4,0,0
136,36,2,Aadhar,559980,884016,3,2,0,0
137,45,1,Aadhar,612936,795336,4,4,0,1
138,40,2,Aadhar,712956,1550004,8,6,0,1
139,50,2,Aadhar,672156,864000,11,7,0,1
140,28,1,Aadhar,686556,932484,0,0,0,1
141,29,1,Aadhar,1413804,2126844,20,4,0,0
142,32,2,Aadhar,655908,791376,11,3,1,0
143,32,2,Aadhar,494520,740280,0,0,0,0
144,45,2,Aadhar,817092,1104960,0,0,0,0
145,34,1,Aadhar,711108,909300,6,4,0,0
146,41,1,Aadhar,767364,928164,16,9,0,0
147,26,1,Aadhar,613236,813720,0,0,0,0
148,26,1,Aadhar,897012,1229892,0,0,0,1
149,29,2,Aadhar,429540,848280,0,0,0,0
150,34,2,Aadhar,436788,745800,0,0,0,0
151,32,1,Aadhar,882120,1321464,0,0,0,0
152,43,1,Aadhar,651108,800964,0,0,0,0
153,36,2,Aadhar,615636,825492,36,4,0,0
154,48,2,Aadhar,591636,775200,0,0,0,0
155,49,2,Aadhar,574188,776232,20,9,0,1
156,49,2,Aadhar,767364,867600,3,0,0,1
157,48,2,Aadhar,703356,829668,4,2,0,0
158,29,2,Aadhar,345372,919896,0,0,0,0
159,36,2,Aadhar,889464,1203708,0,0,0,0
160,28,2,Aadhar,807228,1245888,7,4,0,0
161,48,1,Aadhar,560988,780036,0,0,0,1
162,23,,Aadhar,1085316,1517592,2,2,0,0
163,31,1,Aadhar,528588,791160,0,0,0,0
164,34,1,Aadhar,502128,774300,2,0,0,0
165,28,1,Aadhar,565188,1080600,0,0,0,1
166,34,1,Aadhar,1058640,1350000,2,2,0,0
167,44,1,Aadhar,639348,791820,0,0,0,0
168,31,2,Aadhar,496728,844800,0,0,0,0
169,29,2,Aadhar,722556,875520,0,0,0,0
170,38,2,Aadhar,486120,715620,0,0,0,0
171,29,2,Aadhar,1051440,1717740,0,0,0,1
172,28,2,Aadhar,580188,805404,2,2,0,0
173,29,1,Aadhar,583188,758904,0,0,0,0
174,41,1,Aadhar,568188,730284,10,7,0,1
175,47,2,Aadhar,623736,745656,0,0,0,1
176,30,1,Aadhar,608436,812040,0,0,0,0
177,47,2,VoterID,691908,793056,0,0,0,0
178,29,2,Aadhar,626436,885084,0,0,0,0
179,43,2,Aadhar,593736,819000,0,0,0,0
180,24,,Aadhar,776736,1160748,0,0,0,1
181,48,1,Aadhar,550140,763836,0,0,0,0
182,50,1,Aadhar,461688,809964,0,0,0,0
183,26,2,Aadhar,722556,891240,2,0,0,0
184,33,2,Aadhar,707364,827640,2,0,0,0
185,39,2,Aadhar,586188,1526904,3,3,0,0
186,27,1,Aadhar,705108,1005684,2,2,0,0
187,36,2,Aadhar,687756,909024,2,2,0,1
188,32,2,VoterID,853476,1212000,0,0,0,1
189,40,1,Aadhar,642132,891024,2,2,0,0
190,44,2,Aadhar,629736,827268,19,11,0,1
191,33,2,Aadhar,684708,858840,0,0,0,0
192,27,1,Aadhar,767364,933624,3,3,0,1
193,44,1,Aadhar,824364,993600,64,3,0,1
194,33,2,VoterID,873804,1217856,3,3,0,1
195,32,1,Aadhar,603636,853236,3,2,0,0
196,29,1,Aadhar,649476,832236,0,0,0,1
197,45,2,Aadhar,544008,794064,0,0,0,0
198,33,2,Aadhar,615636,793788,0,0,0,1
199,46,2,Aadhar,698472,856464,2,2,0,0
200,31,1,Aadhar,725364,899436,2,0,0,0
201,37,1,Aadhar,757356,863112,8,6,0,0
202,35,2,Aadhar,556188,832800,0,0,0,1
203,44,2,Aadhar,515928,1233024,4,2,0,0
204,41,2,Aadhar,633336,869580,3,2,0,1
205,47,1,Aadhar,859476,1146000,0,0,0,0
206,25,1,Aadhar,624636,709752,0,0,0,1
207,41,2,Aadhar,630096,790860,2,2,0,0
208,35,1,Aadhar,657108,861468,0,0,0,1
209,33,1,Aadhar,731364,900312,0,0,0,0
210,47,2,Aadhar,639636,801576,0,0,0,0
211,34,2,Aadhar,669996,835344,0,0,0,1
212,33,2,VoterID,746556,854400,6,2,0,0
213,37,2,Aadhar,633636,821532,3,2,0,0
214,34,1,Aadhar,754164,1053600,2,2,0,0
215,46,1,Aadhar,800028,863424,11,5,0,0
216,35,2,Aadhar,491028,789600,2,2,0,0
217,44,2,Aadhar,608196,819564,55,27,0,0
218,36,1,Aadhar,637668,815628,10,3,0,1
219,25,1,Aadhar,675108,770376,0,0,0,0
220,37,2,Aadhar,428100,546228,4,2,0,0
221,49,2,Aadhar,395808,746256,0,0,0,1
222,35,1,Aadhar,596436,751524,2,0,0,0
223,30,1,Aadhar,772584,842616,3,3,0,1
224,28,2,Aadhar,694308,907152,0,0,0,1
225,33,2,Aadhar,855804,1274928,2,2,0,0
226,26,2,Aadhar,674556,894216,0,0,0,1
227,43,2,Aadhar,639636,946296,0,0,0,0
228,38,2,Aadhar,627636,785844,3,0,0,1
229,23,,Aadhar,572628,990240,0,0,0,0
230,29,2,VoterID,675108,812916,0,0,0,0
231,34,1,Aadhar,578988,799920,0,0,0,1
232,25,2,VoterID,660156,909024,3,3,0,1
233,44,2,Aadhar,613368,845712,0,0,0,0
234,45,2,Aadhar,389808,757704,3,2,0,0
235,44,1,Aadhar,736956,845928,8,3,0,1
236,36,2,Aadhar,579396,938880,3,0,0,0
237,29,2,Aadhar,548220,848052,0,0,0,0
238,33,2,Aadhar,496728,803892,13,5,0,0
239,27,1,VoterID,812436,1144632,0,0,0,1
240,38,2,Aadhar,573276,887904,2,2,0,1
241,29,2,Aadhar,715164,868128,0,0,0,1
242,50,1,Aadhar,564588,819468,3,2,0,0
243,38,1,Aadhar,638436,874152,13,5,0,0
244,41,2,VoterID,612936,800640,3,2,0,1
245,46,2,VoterID,451668,1106820,0,0,0,0
246,45,2,Aadhar,1132680,1613004,17,2,0,0
247,42,1,Aadhar,365184,491820,0,0,0,1
248,36,2,Aadhar,805584,1318596,0,0,0,1
249,44,2,Aadhar,457668,1026756,4,3,0,1
250,41,2,VoterID,712416,818952,3,0,0,1
251,27,1,Driving,820428,1189080,2,2,0,0
252,35,1,Aadhar,370092,767304,3,3,0,0
253,30,1,Aadhar,550740,878724,0,0,0,0
254,36,2,PAN,837804,1211100,0,0,0,1
255,31,2,Aadhar,532188,2419200,0,0,0,0
256,40,2,Aadhar,518700,696000,3,2,0,1
257,46,1,Aadhar,609036,864720,2,2,0,1
258,33,2,Aadhar,684228,896220,5,5,0,1
259,41,1,VoterID,825228,928896,0,0,0,1
260,46,2,Aadhar,950232,1315800,8,5,0,1
261,34,1,Aadhar,652632,821256,3,0,0,1
262,27,2,Aadhar,592188,836904,0,0,0,1
263,25,1,Aadhar,801384,912000,0,0,0,0
264,43,2,Aadhar,460668,798360,0,0,0,0
265,29,1,Aadhar,699108,864072,7,7,0,1
266,47,2,Aadhar,330348,553368,5,2,0,0
267,36,2,Aadhar,627648,869952,0,0,0,0
268,48,2,Aadhar,740448,1316160,11,10,0,0
269,40,1,Aadhar,665472,785724,2,2,0,1
270,46,2,Aadhar,785784,1088052,6,0,0,1
271,38,2,Aadhar,603636,941892,2,2,0,0
272,38,2,Aadhar,565740,841680,3,2,0,0
273,46,2,Aadhar,782028,1231032,5,5,0,0
274,37,1,Aadhar,720156,851364,0,0,0,1
275,43,2,Aadhar,674028,821196,0,0,0,0
276,24,,VoterID,592188,1275360,0,0,0,1
277,47,2,Aadhar,499128,805380,0,0,0,0
278,31,2,Aadhar,781980,1162668,0,0,0,1
279,40,1,Aadhar,746556,940200,9,2,0,0
280,44,1,Aadhar,786408,900000,4,3,0,0
281,31,2,Aadhar,552336,766224,4,2,0,0
282,41,2,Driving,473880,828780,0,0,0,0
283,38,1,Aadhar,542100,743700,0,0,0,1
284,33,2,Aadhar,681108,840516,9,6,0,1
285,38,1,Aadhar,639636,866472,0,0,0,0
286,46,1,Aadhar,648936,825792,5,2,1,1
287,37,2,Aadhar,745992,1090668,2,0,0,0
288,28,1,Aadhar,837804,1146000,3,3,0,0
289,38,2,Aadhar,676956,821040,6,0,0,0
290,41,2,VoterID,671316,1098264,0,0,0,0
291,28,1,Aadhar,658956,862800,0,0,0,0
292,50,2,Aadhar,365808,873288,0,0,0,0
293,35,2,Aadhar,478800,649932,0,0,0,1
294,27,1,Aadhar,663108,846000,3,3,0,0
295,40,2,Aadhar,636744,864708,0,0,0,0
296,40,2,Aadhar,618156,811704,0,0,0,1
297,29,1,Aadhar,586188,709512,3,2,0,0
298,37,1,Driving,475128,703956,0,0,0,1
299,44,1,Aadhar,776628,908772,28,5,0,1
300,30,2,Aadhar,667068,780540,8,6,1,1
301,32,2,Aadhar,699108,831672,6,3,0,0
302,47,1,Aadhar,615636,709368,14,6,0,0
303,30,1,Aadhar,814584,950232,0,0,0,0
304,25,2,VoterID,950232,1319412,0,0,0,1
305,37,2,Aadhar,417948,566328,10,9,0,0
306,38,1,Aadhar,790584,900000,6,5,0,0
307,28,2,VoterID,609636,919848,0,0,0,0
308,32,2,Aadhar,354348,726000,0,0,0,0
309,42,1,Aadhar,659868,860460,17,2,0,1
310,46,2,Aadhar,658548,841476,2,2,0,1
311,26,1,Aadhar,498168,787152,0,0,0,0
312,30,1,Aadhar,690156,903108,4,0,0,0
313,37,2,Aadhar,554100,743976,0,0,0,1
314,49,1,Aadhar,651108,858816,0,0,0,0
315,24,,Aadhar,793200,1127952,2,2,0,1
316,26,1,Aadhar,1169880,1632000,2,0,0,0
317,27,1,Aadhar,843804,1192440,2,2,0,0
318,46,,Aadhar,864876,1114212,0,0,0,0
319,46,1,Aadhar,569676,793056,0,0,0,0
320,35,2,VoterID,731364,1173396,0,0,0,1
321,37,2,Aadhar,594936,767544,0,0,0,1
322,35,1,Aadhar,642036,746400,0,0,0,1
323,39,2,Aadhar,731364,1314000,0,0,0,0
324,27,1,Aadhar,847476,1021104,0,0,0,1
325,31,1,Aadhar,615972,934296,7,4,0,0
326,49,2,Aadhar,623436,881040,14,5,1,1
327,50,2,Aadhar,659676,839172,0,0,0,0
328,28,1,Aadhar,584988,767208,0,0,0,1
329,47,2,Aadhar,755364,871140,2,2,0,1
330,48,2,Driving,607548,855912,0,0,0,0
331,28,2,Aadhar,746556,936000,0,0,0,0
332,48,2,Aadhar,797784,969792,8,6,0,0
333,25,1,Aadhar,767364,1121136,2,2,0,0
334,47,2,Aadhar,814584,934752,11,2,0,1
335,43,2,Aadhar,820584,1020000,0,0,0,1
336,29,1,Aadhar,638136,821832,5,5,0,0
337,35,1,Aadhar,644436,888360,44,16,0,0
338,44,2,Aadhar,602436,756120,0,0,0,0
339,31,1,VoterID,572988,745824,2,2,0,0
340,41,2,Aadhar,776028,963984,2,2,0,1
341,29,2,Aadhar,831804,1194396,3,2,0,0
342,25,1,Aadhar,791028,1058580,0,0,0,1
343,33,1,Aadhar,484728,699000,2,2,0,1
344,47,2,Aadhar,556188,771696,4,3,0,1
345,41,2,Aadhar,527148,853128,7,2,0,0
346,40,2,Aadhar,864204,990000,2,2,0,1
347,33,2,Aadhar,519528,781956,10,5,0,0
348,31,2,Aadhar,1174068,1934400,2,0,0,0
349,43,1,Aadhar,461268,744600,0,0,0,0
350,48,2,VoterID,642156,748392,5,4,1,0
351,37,1,VoterID,359808,805788,10,8,0,0
352,27,2,Aadhar,853476,1167600,0,0,0,1
353,43,1,Aadhar,484728,693252,2,2,0,0
354,31,1,PAN,521364,879624,0,0,0,1
355,31,2,Aadhar,724164,837060,0,0,0,0
356,50,2,Aadhar,633636,714312,2,2,0,1
357,26,2,VoterID,603360,962424,0,0,0,0
358,27,1,Aadhar,708564,809844,3,2,0,1
359,25,1,Aadhar,484728,754632,0,0,0,0
360,39,2,Aadhar,698724,982800,0,0,0,0
361,45,1,Aadhar,632436,768228,20,4,0,0
362,27,1,Aadhar,507768,831768,0,0,0,0
363,26,1,Aadhar,740640,886200,6,3,0,0
364,43,2,Aadhar,718452,861516,0,0,0,0
365,47,2,Aadhar,788028,1083540,0,0,0,0
366,32,1,Aadhar,639636,1090944,4,3,0,0
367,36,2,Aadhar,684156,913404,0,0,0,0
368,45,2,Aadhar,620676,892032,0,0,0,0
369,28,2,Aadhar,824028,1167816,0,0,0,0
370,24,,Aadhar,753564,951120,0,0,0,0
371,26,1,Aadhar,733200,985080,0,0,0,0
372,26,1,Aadhar,492372,755172,2,2,0,1
373,47,1,VoterID,584988,809748,7,4,0,0
374,48,2,Aadhar,494328,943752,0,0,0,0
375,39,1,Aadhar,546588,818796,14,9,0,0
376,33,2,Aadhar,496728,749196,6,3,1,0
377,29,2,VoterID,678708,909600,0,0,0,0
378,44,2,Aadhar,770556,960744,5,5,0,1
379,29,2,VoterID,626436,770412,5,4,0,0
380,48,2,Aadhar,380808,933600,0,0,0,0
381,44,1,Aadhar,759600,870696,0,0,0,1
382,49,2,Aadhar,646128,847044,6,3,0,1
383,35,1,Aadhar,668016,808368,4,4,0,0
384,25,2,Aadhar,684156,825276,4,4,0,1
385,40,1,Aadhar,494400,743016,4,0,0,0
386,37,2,Aadhar,743364,952800,3,2,0,1
387,30,2,VoterID,282888,826920,0,0,0,1
388,28,2,Aadhar,801228,1321200,0,0,0,1
389,42,2,Aadhar,415932,823344,3,2,0,0
390,34,1,Aadhar,654156,756000,0,0,0,0
391,29,,Aadhar,593736,821472,0,0,0,1
392,45,2,Aadhar,788628,906000,14,2,0,0
393,46,2,Aadhar,535188,782496,0,0,0,0
394,34,2,PAN,619752,839064,7,3,0,0
395,31,1,Aadhar,515628,829764,2,2,0,0
396,25,2,Aadhar,632436,813408,0,0,0,0
397,49,2,Aadhar,794028,1032000,4,3,0,0
398,46,2,Aadhar,841476,1288800,2,2,0,0
399,48,2,Aadhar,719364,872400,6,4,0,1
400,25,1,Aadhar,624996,728892,0,0,0,0
401,27,2,Aadhar,504528,881592,3,0,0,0
402,32,1,Aadhar,621636,1073004,0,0,0,0
403,43,1,Aadhar,795828,948000,16,6,0,1
404,45,1,Aadhar,688716,816636,6,3,0,1
405,29,2,Aadhar,746556,1341540,0,0,0,0
406,23,,Aadhar,521928,840000,5,3,0,0
407,42,2,Aadhar,406068,735264,13,5,0,1
408,50,2,Aadhar,653508,816696,0,0,0,0
409,32,2,Aadhar,519120,802680,2,0,0,0
410,35,1,Aadhar,699108,856800,14,0,0,0
411,31,2,Aadhar,633336,830868,0,0,0,1
412,25,2,Aadhar,615636,797904,7,5,0,1
413,42,1,Aadhar,867804,1063200,20,3,0,0
414,26,2,VoterID,425268,844668,0,0,0,0
415,30,1,Aadhar,574188,776136,0,0,0,1
416,30,2,VoterID,843804,1298508,0,0,0,0
417,43,2,Aadhar,660744,787896,6,2,0,1
418,48,2,Aadhar,482808,652680,5,3,0,0
419,29,2,VoterID,642036,841248,0,0,0,0
420,44,2,VoterID,924948,1449468,0,0,0,0
421,40,1,Aadhar,824556,987576,14,10,0,1
422,24,,Aadhar,606036,783108,3,2,0,0
423,48,2,VoterID,624936,933816,0,0,0,0
424,31,2,Aadhar,754308,987984,2,0,0,0
425,26,2,Aadhar,687108,833880,0,0,0,1
426,30,2,Aadhar,401808,738084,3,2,0,0
427,37,2,Aadhar,792828,977760,2,2,0,1
428,38,2,Driving,824400,1215132,0,0,0,0
429,39,2,Aadhar,329388,905712,0,0,0,0
430,25,2,Aadhar,393528,825900,0,0,0,0
431,36,1,Aadhar,394704,599400,0,0,0,0
432,46,1,Aadhar,654552,788460,15,6,0,0
433,45,2,Driving,716688,927324,4,3,0,1
434,48,1,Aadhar,881076,1201776,2,2,0,1
435,30,2,VoterID,933012,1176852,2,0,0,0
436,42,1,Aadhar,692724,1411872,13,7,0,0
437,44,2,Aadhar,544188,844608,3,2,0,0
438,31,2,Aadhar,526728,857928,0,0,0,1
439,28,2,Aadhar,636936,807420,0,0,0,0
440,31,1,VoterID,590988,854160,0,0,0,1
441,35,2,Aadhar,660156,857616,0,0,0,1
442,37,2,Aadhar,591276,782820,0,0,0,0
443,38,2,Aadhar,514728,854856,0,0,0,0
444,30,2,Aadhar,645636,841488,3,0,0,0
445,38,1,VoterID,668556,772572,2,0,0,0
446,37,2,Aadhar,493728,849552,19,17,1,0
447,37,2,Aadhar,312384,886932,4,2,0,0
448,35,2,VoterID,730020,1073532,0,0,0,0
449,41,2,VoterID,623736,971700,0,0,0,0
450,43,1,Aadhar,696180,795420,15,6,0,0
451,26,1,Aadhar,632796,826908,2,0,0,1
452,25,2,Aadhar,918948,1349544,0,0,0,0
453,42,2,Aadhar,704496,953544,0,0,0,0
454,42,2,Aadhar,754800,854400,0,0,0,0
455,26,2,Aadhar,872604,1327524,0,0,0,1
456,30,2,Aadhar,477528,783480,0,0,0,0
457,28,2,Passport,743364,1298676,0,0,0,0
458,42,2,Aadhar,564588,818400,2,2,0,0
459,37,1,Aadhar,415152,608700,0,0,0,0
460,26,1,Aadhar,556188,696420,0,0,0,1
461,26,2,Aadhar,544188,705420,2,0,0,1
462,30,2,PAN,675756,863820,8,4,0,0
463,39,1,Aadhar,559260,737580,4,2,0,0
464,47,2,Aadhar,690708,851628,0,0,0,0
465,27,1,Aadhar,771228,996000,0,0,0,1
466,30,,Aadhar,663108,944868,4,2,0,0
467,31,2,Driving,579036,974100,0,0,0,1
468,37,2,Aadhar,696108,894324,4,3,0,0
469,30,2,Aadhar,656004,790800,10,10,0,0
470,37,2,Aadhar,645636,814200,0,0,0,0
471,37,2,Aadhar,448980,799380,4,3,0,0
472,26,2,Aadhar,708156,926604,0,0,0,0
473,36,1,VoterID,672516,810120,10,0,0,0
474,25,2,Aadhar,1385016,2091660,0,0,0,1
475,42,1,Aadhar,546588,828000,0,0,0,0
476,29,2,VoterID,658956,859848,0,0,0,1
477,39,2,Aadhar,722556,951348,0,0,0,0
478,29,1,Aadhar,528000,686400,0,0,0,0
479,41,1,Aadhar,750156,975600,0,0,0,0
480,46,1,Aadhar,636936,828240,2,0,0,1
481,31,1,Aadhar,735396,872016,2,2,0,1
482,49,2,Aadhar,532188,761496,0,0,0,0
483,45,2,Aadhar,568188,861240,0,0,0,1
484,32,1,Aadhar,719364,868092,0,0,0,0
485,26,2,PAN,855804,1207740,0,0,0,1
486,37,2,Aadhar,667908,829140,3,0,0,0
487,49,2,Aadhar,544188,838032,0,0,0,0
488,30,1,Aadhar,782184,915252,7,5,0,0
489,31,2,Aadhar,672156,869520,29,8,0,1
490,47,2,VoterID,615636,932400,0,0,0,0
491,46,2,Aadhar,681756,905664,18,6,0,0
492,23,,Aadhar,716556,814716,0,0,0,1
493,49,2,Aadhar,657108,802512,8,6,0,1
494,35,1,Aadhar,630036,820296,0,0,0,1
495,30,1,Aadhar,767184,921936,0,0,0,1
496,44,2,Aadhar,663108,880836,4,0,0,1
497,27,2,Aadhar,615636,829260,0,0,0,0
498,28,1,Aadhar,530388,765600,3,2,0,1
499,39,2,Aadhar,684156,791760,2,2,0,0
500,37,1,Aadhar,761364,983856,9,4,0,0
501,47,1,VoterID,722148,942024,0,0,0,1
502,38,1,Aadhar,642036,768900,0,0,0,0
503,36,1,Aadhar,633336,759720,2,2,0,1
504,25,2,Aadhar,688356,999504,0,0,0,1
505,31,2,Aadhar,755364,918300,0,0,0,1
506,38,2,Aadhar,708156,862092,5,3,0,0
507,36,2,Aadhar,600096,777216,31,4,0,0
508,31,2,Aadhar,633636,847884,7,6,0,0
509,35,2,Aadhar,806028,966300,9,5,0,0
510,42,2,Aadhar,615636,830352,0,0,0,0
511,47,1,Aadhar,654228,794160,4,3,0,1
512,40,2,PAN,672156,815376,0,0,0,0
513,26,1,Aadhar,786000,1152960,0,0,0,1
514,47,2,Aadhar,437268,704220,15,3,0,1
515,30,2,Aadhar,648156,801732,0,0,0,0
516,45,1,Aadhar,758556,1032000,0,0,0,0
517,30,1,Driving,650748,929724,3,3,0,1
518,37,1,Aadhar,622836,793200,0,0,0,0
519,28,1,Aadhar,778428,948000,2,2,0,0
520,25,1,Aadhar,790584,1015800,2,2,0,0
521,28,2,VoterID,802584,1210260,0,0,0,1
522,43,2,Aadhar,830028,1119600,7,6,0,1
523,25,2,Aadhar,592188,903540,0,0,0,0
524,42,2,Aadhar,761280,980400,4,3,0,1
525,26,2,Aadhar,571188,813240,2,0,0,0
526,37,1,Aadhar,501408,860364,0,0,0,0
527,47,2,Aadhar,692724,929352,3,0,0,0
528,35,2,Aadhar,379932,841488,0,0,0,0
529,40,1,Aadhar,534108,846000,2,2,0,0
530,39,2,Aadhar,606936,751392,2,0,0,1
531,45,1,Aadhar,696708,861144,15,8,0,1
532,32,1,Aadhar,770028,1017600,0,0,0,1
533,41,2,Aadhar,802584,970428,0,0,0,1
